unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1594771200,2020-07-15 00:00:00,BTC/USD,9256.33,9276.98,9153.38,9190.07,3810.04841103,35014611.60075447
1594684800,2020-07-14 00:00:00,BTC/USD,9234.19,9282.08,9095.00,9251.59,4479.91060569,41446296.16049555
1594598400,2020-07-13 00:00:00,BTC/USD,9304.94,9351.17,9190.49,9233.10,3875.17319052,35779861.58539021
1594512000,2020-07-12 00:00:00,BTC/USD,9234.07,9347.76,9153.48,9306.17,2037.15363045,18958098.001084875
1594425600,2020-07-11 00:00:00,BTC/USD,9291.00,9304.95,9180.00,9238.30,1453.16535935,13424777.539283104
1594339200,2020-07-10 00:00:00,BTC/USD,9234.91,9318.92,9053.14,9283.53,3910.32678996,36301636.064397365
1594252800,2020-07-09 00:00:00,BTC/USD,9441.76,9448.50,9157.11,9234.90,4575.44853951,42253809.7175209
1594166400,2020-07-08 00:00:00,BTC/USD,9257.21,9479.57,9228.91,9437.16,6275.54666358,59223337.95167063
1594080000,2020-07-07 00:00:00,BTC/USD,9346.90,9385.81,9201.78,9257.16,4702.82565367,43534809.528127775
1593993600,2020-07-06 00:00:00,BTC/USD,9077.18,9376.34,9060.50,9348.22,5361.35284949,50119105.93465941
1593907200,2020-07-05 00:00:00,BTC/USD,9142.16,9147.37,8905.00,9076.82,3067.87780852,27846574.649930507
1593820800,2020-07-04 00:00:00,BTC/USD,9053.87,9196.00,9045.94,9138.52,2180.37237178,19925376.526958965
1593734400,2020-07-03 00:00:00,BTC/USD,9091.68,9127.11,9027.17,9063.08,3510.00353809,31811442.865992717
1593648000,2020-07-02 00:00:00,BTC/USD,9230.97,9268.54,8939.00,9092.92,6866.04897352,62432434.03229948
1593561600,2020-07-01 00:00:00,BTC/USD,9136.89,9300.00,9089.80,9233.38,4321.56559235,39902657.30909264
1593475200,2020-06-30 00:00:00,BTC/USD,9187.85,9201.95,9060.00,9132.96,2781.63125132,25404526.953055505
1593388800,2020-06-29 00:00:00,BTC/USD,9118.80,9240.36,9014.92,9188.88,4942.72533003,45418109.93060606
1593302400,2020-06-28 00:00:00,BTC/USD,9008.33,9191.72,8933.06,9118.01,3231.85728086,29468107.00545429
1593216000,2020-06-27 00:00:00,BTC/USD,9158.13,9189.00,8830.63,9009.30,4399.67602419,39638001.204734966
1593129600,2020-06-26 00:00:00,BTC/USD,9237.98,9289.71,9024.61,9158.26,7912.38375487,72463667.64687572
1593043200,2020-06-25 00:00:00,BTC/USD,9286.30,9343.49,8989.00,9239.48,8701.24617460,80394990.0052932
1592956800,2020-06-24 00:00:00,BTC/USD,9617.88,9666.35,9193.99,9286.06,10072.57541802,93534539.6862588
1592870400,2020-06-23 00:00:00,BTC/USD,9688.26,9725.30,9571.00,9622.81,4866.11470545,46825697.24875131
1592784000,2020-06-22 00:00:00,BTC/USD,9287.89,9798.76,9267.20,9683.12,6615.64540882,64060088.37105312
1592697600,2020-06-21 00:00:00,BTC/USD,9355.93,9421.26,9271.52,9283.03,1435.21189641,13323115.090730924
1592611200,2020-06-20 00:00:00,BTC/USD,9287.60,9400.00,9138.00,9355.46,3071.79384829,28738044.47592316
1592524800,2020-06-19 00:00:00,BTC/USD,9374.83,9429.99,9225.15,9304.32,5305.90771910,49367863.30897651
1592438400,2020-06-18 00:00:00,BTC/USD,9459.82,9478.69,9250.00,9374.78,3997.01284654,37471116.093486264
1592352000,2020-06-17 00:00:00,BTC/USD,9530.62,9566.53,9230.32,9461.29,5902.36636044,55843999.82236737
1592265600,2020-06-16 00:00:00,BTC/USD,9435.41,9596.31,9374.90,9530.30,6864.21822439,65418058.94390401
1592179200,2020-06-15 00:00:00,BTC/USD,9329.99,9505.40,8900.00,9435.15,11765.11353390,111005610.95937657
1592092800,2020-06-14 00:00:00,BTC/USD,9478.93,9479.59,9235.01,9329.99,3477.25235863,32442729.73349431
1592006400,2020-06-13 00:00:00,BTC/USD,9465.92,9500.00,9345.71,9473.46,2938.68222067,27839488.470228415
1591920000,2020-06-12 00:00:00,BTC/USD,9265.95,9555.00,9230.00,9463.07,6934.13533535,65618208.067890525
1591833600,2020-06-11 00:00:00,BTC/USD,9894.32,9981.24,9078.91,9264.26,16389.44455357,151836075.5998564
1591747200,2020-06-10 00:00:00,BTC/USD,9782.30,10011.40,9578.00,9894.32,7107.20140335,70320924.98919398
1591660800,2020-06-09 00:00:00,BTC/USD,9786.64,9897.46,9566.81,9776.84,6922.79788471,67683087.27114812
1591574400,2020-06-08 00:00:00,BTC/USD,9759.04,9813.67,9645.00,9783.00,5379.07801648,52623520.23522384
1591488000,2020-06-07 00:00:00,BTC/USD,9673.08,9829.31,9356.00,9750.04,6762.65158822,65936123.49120854
1591401600,2020-06-06 00:00:00,BTC/USD,9616.17,9744.39,9525.76,9669.85,4047.26924742,39136486.53216428
1591315200,2020-06-05 00:00:00,BTC/USD,9791.00,9856.48,9592.74,9619.99,7157.37095675,68853837.03022543
1591228800,2020-06-04 00:00:00,BTC/USD,9668.00,9888.00,9430.00,9791.92,8938.76888870,87527709.85663931
1591142400,2020-06-03 00:00:00,BTC/USD,9522.52,9699.95,9380.99,9668.99,6928.76322878,66994142.37144153
1591056000,2020-06-02 00:00:00,BTC/USD,10203.64,10241.26,9135.68,9525.73,22725.11942099,216473351.82210705
1590969600,2020-06-01 00:00:00,BTC/USD,9444.61,10429.26,9416.50,10203.64,12109.14149664,123557320.54077578
1590883200,2020-05-31 00:00:00,BTC/USD,9705.10,9711.70,9373.96,9446.19,5697.99838373,53824375.35240649
1590796800,2020-05-30 00:00:00,BTC/USD,9428.52,9758.27,9326.28,9705.10,6781.84196225,65818454.42783248
1590710400,2020-05-29 00:00:00,BTC/USD,9581.49,9610.00,9330.00,9421.04,7226.77389995,68083725.98238495
1590624000,2020-05-28 00:00:00,BTC/USD,9209.99,9625.01,9105.79,9577.38,11523.40889483,110364065.88116693
1590537600,2020-05-27 00:00:00,BTC/USD,8835.79,9230.21,8810.99,9210.00,6867.67101935,63251250.0882135
1590451200,2020-05-26 00:00:00,BTC/USD,8903.22,9012.00,8690.00,8840.91,5923.00523696,52364756.22949203
1590364800,2020-05-25 00:00:00,BTC/USD,8710.12,8984.16,8630.00,8903.56,8919.92378955,79419076.65568578
1590278400,2020-05-24 00:00:00,BTC/USD,9183.93,9310.91,8669.00,8718.77,8855.47763284,77208872.72087641
1590192000,2020-05-23 00:00:00,BTC/USD,9171.96,9316.12,9084.83,9183.46,3477.27850858,31933448.092404086
1590105600,2020-05-22 00:00:00,BTC/USD,9062.25,9272.97,8924.91,9171.96,7261.28419694,66600208.202965796
1590019200,2020-05-21 00:00:00,BTC/USD,9505.61,9573.29,8800.00,9062.47,16879.82890788,152972943.08279526
1589932800,2020-05-20 00:00:00,BTC/USD,9776.30,9843.87,9100.00,9516.51,12351.42817701,117542489.76079744
1589846400,2020-05-19 00:00:00,BTC/USD,9730.00,9903.89,9455.05,9787.65,12149.68534917,118916867.80780375
1589760000,2020-05-18 00:00:00,BTC/USD,9672.95,9966.12,9451.20,9721.91,12362.32763823,120185436.68938461
1589673600,2020-05-17 00:00:00,BTC/USD,9377.79,9894.88,9326.53,9665.70,9515.79358021,91976806.0082358
1589587200,2020-05-16 00:00:00,BTC/USD,9307.43,9590.00,9216.08,9389.07,6170.09609719,57931464.16324372
1589500800,2020-05-15 00:00:00,BTC/USD,9809.91,9844.66,9112.00,9306.21,17324.14460144,161222127.73136693
1589414400,2020-05-14 00:00:00,BTC/USD,9323.73,9945.34,9254.85,9793.50,19936.18545561,195245032.25951654
1589328000,2020-05-13 00:00:00,BTC/USD,8816.99,9418.46,8804.47,9315.50,12762.85161682,118892344.23648672
1589241600,2020-05-12 00:00:00,BTC/USD,8574.19,8984.87,8534.97,8825.46,14010.26120550,123646999.85869202
1589155200,2020-05-11 00:00:00,BTC/USD,8740.88,9182.97,8181.00,8571.98,34465.18657226,295434889.99368125
1589068800,2020-05-10 00:00:00,BTC/USD,9527.31,9565.20,8109.00,8731.17,31639.42874341,276249231.0615991
1588982400,2020-05-09 00:00:00,BTC/USD,9809.04,9914.00,9515.40,9546.56,11278.63371513,107672153.47951144
1588896000,2020-05-08 00:00:00,BTC/USD,10008.19,10048.38,9725.00,9801.35,19203.48379461,188220065.89030075
1588809600,2020-05-07 00:00:00,BTC/USD,9163.63,10074.00,9030.03,10000.00,25012.90031203,250129003.1203
1588723200,2020-05-06 00:00:00,BTC/USD,9040.00,9417.95,8921.03,9154.32,15110.94181329,138330396.8602369
1588636800,2020-05-05 00:00:00,BTC/USD,8889.24,9120.00,8760.10,9034.85,9592.13446226,86663496.04634978
1588550400,2020-05-04 00:00:00,BTC/USD,8924.14,8974.34,8528.42,8882.87,10018.97499887,88997252.44821237
