date,duno,open,max,min,close,vol
2017.03.02,00:00,24018.00,24069.00,23603.00,23659.00,26230
2017.03.03,00:00,23633.00,23699.00,23499.00,23648.00,26046
2017.03.06,00:00,23610.00,23691.00,23554.00,23554.00,21693
2017.03.07,00:00,23624.00,23713.00,23586.00,23691.00,19397
2017.03.08,00:00,23656.00,23815.00,23540.00,23747.00,22594
2017.03.09,00:00,23680.00,23680.00,23405.00,23476.00,25137
2017.03.10,00:00,23510.00,23661.00,23442.00,23587.00,24128
2017.03.13,00:00,23619.00,23856.00,23572.00,23826.00,22452
2017.03.14,00:00,23812.00,23905.00,23718.00,23740.00,20171
2017.03.15,00:00,23712.00,23848.00,23628.00,23845.00,19752
2017.03.16,00:00,23964.00,24440.00,23961.00,24346.00,27946
2017.03.17,00:00,24344.00,24406.00,24243.00,24279.00,25311
2017.03.20,00:00,24319.00,24579.00,24280.00,24566.00,22864
2017.03.21,00:00,24546.00,24666.00,24386.00,24395.00,26696
2017.03.22,00:00,24285.00,24430.00,24208.00,24425.00,29534
2017.03.23,00:00,24387.00,24444.00,24279.00,24411.00,26644
2017.03.24,00:00,24412.00,24433.00,24258.00,24409.00,23937
2017.03.27,00:00,24187.00,24426.00,24122.00,24295.00,29686
2017.03.28,00:00,24340.00,24439.00,24274.00,24438.00,21868
2017.03.29,00:00,24448.00,24472.00,24320.00,24371.00,18784
2017.03.30,00:00,24415.00,24431.00,24236.00,24335.00,23162
2017.03.31,00:00,24312.00,24331.00,24085.00,24150.00,23604
2017.04.03,00:00,24198.00,24266.00,24165.00,24196.00,19565
2017.04.05,00:00,24290.00,24471.00,24135.00,24443.00,28191
2017.04.06,00:00,24294.00,24370.00,24176.00,24302.00,25837
2017.04.07,00:00,24316.00,24334.00,23950.00,24324.00,37106
2017.04.10,00:00,24359.00,24380.00,24178.00,24221.00,25776
2017.04.11,00:00,24256.00,24300.00,23978.00,23999.00,33228
2017.04.12,00:00,24035.00,24325.00,23982.00,24202.00,29236
2017.04.13,00:00,24141.00,24390.00,24111.00,24290.00,30109
2017.04.18,00:00,24321.00,24321.00,23796.00,23838.00,30325
2017.04.19,00:00,23883.00,23884.00,23717.00,23839.00,25606
2017.04.20,00:00,23789.00,24088.00,23765.00,24087.00,27795
2017.04.21,00:00,24126.00,24230.00,23978.00,24024.00,25401
2017.04.24,00:00,24192.00,24245.00,23936.00,24220.00,31262
2017.04.25,00:00,24217.00,24563.00,24201.00,24538.00,28104
2017.04.26,00:00,24547.00,24684.00,24514.00,24607.00,21282
2017.04.27,00:00,24599.00,24730.00,24451.00,24623.00,24820
2017.04.28,00:00,24685.00,24695.00,24579.00,24636.00,23347
2017.05.02,00:00,24705.00,24790.00,24569.00,24680.00,23960
2017.05.04,00:00,24646.00,24694.00,24537.00,24625.00,24739
2017.05.05,00:00,24581.00,24616.00,24346.00,24530.00,28623
2017.05.08,00:00,24595.00,24623.00,24487.00,24597.00,27577
2017.05.09,00:00,24591.00,24992.00,24530.00,24970.00,28407
2017.05.10,00:00,24906.00,25158.00,24899.00,25114.00,30615
2017.05.11,00:00,25104.00,25201.00,25016.00,25046.00,31114
2017.05.12,00:00,25100.00,25303.00,25062.00,25301.00,25356
2017.05.15,00:00,25290.00,25447.00,25239.00,25446.00,25954
2017.05.16,00:00,25318.00,25401.00,25179.00,25369.00,24728
2017.05.17,00:00,25296.00,25395.00,25151.00,25184.00,29336
2017.05.18,00:00,25084.00,25253.00,25048.00,25155.00,37941
2017.05.19,00:00,25146.00,25299.00,25106.00,25286.00,25181
2017.05.22,00:00,25284.00,25430.00,25195.00,25390.00,25086
2017.05.23,00:00,25388.00,25473.00,25329.00,25442.00,24986
2017.05.24,00:00,25409.00,25456.00,25319.00,25445.00,23250
2017.05.25,00:00,25456.00,25708.00,25455.00,25660.00,23854
2017.05.26,00:00,25681.00,25727.00,25580.00,25631.00,21498
2017.05.29,00:00,25632.00,25749.00,25600.00,25674.00,12791
2017.05.31,00:00,25707.00,25817.00,25595.00,25595.00,25799
2017.06.01,00:00,25666.00,25801.00,25605.00,25792.00,25002
2017.06.02,00:00,25844.00,25941.00,25784.00,25897.00,23548
2017.06.05,00:00,25877.00,25951.00,25807.00,25843.00,18408
2017.06.06,00:00,25824.00,26029.00,25796.00,26029.00,20395
2017.06.07,00:00,26002.00,26047.00,25909.00,25912.00,21188
2017.06.08,00:00,25922.00,26095.00,25903.00,26087.00,22585
2017.06.09,00:00,26058.00,26108.00,25946.00,26107.00,24257
2017.06.12,00:00,25958.00,25970.00,25704.00,25736.00,19105
2017.06.13,00:00,25830.00,25900.00,25753.00,25857.00,21411
2017.06.14,00:00,25894.00,25916.00,25692.00,25849.00,24204
2017.06.15,00:00,25771.00,25773.00,25479.00,25552.00,29451
2017.06.16,00:00,25631.00,25698.00,25566.00,25587.00,23004
2017.06.19,00:00,25669.00,25946.00,25669.00,25944.00,21472
2017.06.20,00:00,25931.00,25992.00,25711.00,25723.00,24036
2017.06.21,00:00,25752.00,25872.00,25552.00,25719.00,31870
2017.06.22,00:00,25560.00,25861.00,25536.00,25775.00,30594
2017.06.23,00:00,25719.00,25786.00,25626.00,25704.00,26525
2017.06.26,00:00,25692.00,25921.00,25692.00,25848.00,24234
2017.06.27,00:00,25906.00,25908.00,25783.00,25848.00,25481
2017.06.28,00:00,25733.00,25817.00,25618.00,25796.00,24306
2017.06.29,00:00,25810.00,25950.00,25768.00,25791.00,26648
2017.06.30,00:00,25685.00,25804.00,25567.00,25765.00,29126
2017.07.03,00:00,25581.00,25845.00,25577.00,25844.00,22494
2017.07.04,00:00,25756.00,25826.00,25217.00,25394.00,29143
2017.07.05,00:00,25367.00,25569.00,25192.00,25551.00,32725
2017.07.06,00:00,25577.00,25629.00,25374.00,25407.00,33072
2017.07.07,00:00,25350.00,25416.00,25292.00,25382.00,24895
2017.07.10,00:00,25393.00,25617.00,25320.00,25568.00,25901
2017.07.11,00:00,25551.00,25977.00,25544.00,25923.00,27655
2017.07.12,00:00,25942.00,26328.00,25942.00,26315.00,32087
2017.07.13,00:00,26358.00,26404.00,26275.00,26364.00,26858
2017.07.14,00:00,26382.00,26550.00,26309.00,26536.00,23248
2017.07.17,00:00,26595.00,26630.00,26377.00,26438.00,29325
2017.07.18,00:00,26481.00,26539.00,26399.00,26467.00,27421
2017.07.19,00:00,26527.00,26755.00,26499.00,26716.00,25217
2017.07.20,00:00,26713.00,26768.00,26636.00,26743.00,24913
2017.07.21,00:00,26735.00,26771.00,26647.00,26654.00,24871
2017.07.24,00:00,26707.00,26890.00,26685.00,26801.00,21415
2017.07.25,00:00,26814.00,26946.00,26787.00,26932.00,22008
2017.07.26,00:00,26896.00,26984.00,26804.00,26936.00,22159
2017.07.27,00:00,26961.00,27180.00,26945.00,27135.00,18992
2017.07.28,00:00,27069.00,27069.00,26948.00,27055.00,23399
2017.07.31,00:00,27047.00,27329.00,27028.00,27271.00,22576
2017.08.01,00:00,27293.00,27679.00,27293.00,27591.00,27317
2017.08.02,00:00,27583.00,27735.00,27542.00,27562.00,26561
2017.08.03,00:00,27509.00,27620.00,27414.00,27595.00,27555
2017.08.04,00:00,27598.00,27616.00,27507.00,27556.00,23737
2017.08.07,00:00,27603.00,27750.00,27585.00,27606.00,19558
2017.08.08,00:00,27634.00,27954.00,27598.00,27948.00,21809
2017.08.09,00:00,27820.00,27861.00,27592.00,27691.00,30667
2017.08.10,00:00,27778.00,27806.00,27219.00,27245.00,44396
2017.08.11,00:00,27004.00,27195.00,26826.00,26971.00,46387
2017.08.14,00:00,27082.00,27324.00,27021.00,27322.00,31246
2017.08.15,00:00,27314.00,27385.00,27077.00,27156.00,34776
2017.08.16,00:00,27125.00,27640.00,27093.00,27611.00,32876
2017.08.17,00:00,27612.00,27631.00,27201.00,27244.00,39922
2017.08.18,00:00,27045.00,27236.00,26944.00,27109.00,37785
2017.08.21,00:00,27066.00,27261.00,27040.00,27250.00,31634
2017.08.22,00:00,27313.00,27562.00,27301.00,27544.00,27187
2017.08.24,00:00,27545.00,27631.00,27478.00,27546.00,26614
2017.08.25,00:00,27592.00,28046.00,27449.00,27950.00,35292
2017.08.28,00:00,27873.00,28080.00,27833.00,27882.00,31354
2017.08.29,00:00,27833.00,27861.00,27671.00,27859.00,26914
2017.08.30,00:00,27896.00,28151.00,27875.00,28019.00,29556
2017.08.31,00:00,27975.00,28018.00,27866.00,27987.00,27584
2017.09.01,00:00,28019.00,28095.00,27903.00,28005.00,28302
2017.09.04,00:00,27808.00,27871.00,27624.00,27811.00,26296
2017.09.05,00:00,27785.00,27835.00,27662.00,27675.00,31057
2017.09.06,00:00,27645.00,27729.00,27391.00,27686.00,34342
2017.09.07,00:00,27754.00,27811.00,27457.00,27608.00,34633
2017.09.08,00:00,27567.00,27793.00,27545.00,27695.00,30310
2017.09.11,00:00,27793.00,28019.00,27790.00,28010.00,26210
2017.09.12,00:00,27998.00,28026.00,27849.00,27970.00,23790
2017.09.13,00:00,27976.00,27989.00,27719.00,27808.00,24421
2017.09.14,00:00,27822.00,27887.00,27687.00,27775.00,26556
2017.09.15,00:00,27741.00,27938.00,27478.00,27848.00,34088
2017.09.18,00:00,27955.00,28188.00,27919.00,28154.00,25587
2017.09.19,00:00,28156.00,28242.00,28033.00,28052.00,27133
2017.09.20,00:00,28064.00,28191.00,28014.00,28113.00,21660
2017.09.21,00:00,28109.00,28192.00,28052.00,28065.00,24996
2017.09.22,00:00,28017.00,28017.00,27786.00,27825.00,25957
2017.09.25,00:00,27898.00,27904.00,27360.00,27384.00,35094
2017.09.26,00:00,27375.00,27614.00,27303.00,27510.00,29350
2017.09.27,00:00,27483.00,27686.00,27456.00,27508.00,26028
2017.09.28,00:00,27577.00,27658.00,27279.00,27431.00,28665
2017.09.29,00:00,27495.00,27631.00,27375.00,27604.00,24416
2017.10.03,00:00,27822.00,28282.00,27731.00,28267.00,25214
2017.10.04,00:00,28228.00,28553.00,28228.00,28356.00,25162
2017.10.06,00:00,28619.00,28642.00,28312.00,28356.00,25002
2017.10.09,00:00,28427.00,28482.00,28267.00,28335.00,26182
2017.10.10,00:00,28335.00,28548.00,28254.00,28511.00,24390
2017.10.11,00:00,28589.00,28610.00,28240.00,28390.00,26929
2017.10.12,00:00,28422.00,28522.00,28350.00,28420.00,21748
2017.10.13,00:00,28387.00,28599.00,28337.00,28594.00,21287
2017.10.16,00:00,28645.00,28800.00,28595.00,28700.00,20502
2017.10.17,00:00,28720.00,28743.00,28614.00,28633.00,18412
2017.10.18,00:00,28660.00,28746.00,28628.00,28745.00,17945
2017.10.19,00:00,28746.00,28770.00,28068.00,28294.00,35706
2017.10.20,00:00,28376.00,28521.00,28331.00,28434.00,25543
2017.10.23,00:00,28535.00,28540.00,28205.00,28264.00,25108
2017.10.24,00:00,28258.00,28354.00,28088.00,28313.00,27377
2017.10.25,00:00,28270.00,28363.00,28030.00,28068.00,27813
2017.10.26,00:00,28122.00,28366.00,28078.00,28337.00,29415
2017.10.27,00:00,28321.00,28537.00,28288.00,28531.00,27972
2017.10.30,00:00,28554.00,28625.00,28204.00,28217.00,32207
2017.10.31,00:00,28233.00,28367.00,28176.00,28280.00,22275
2017.11.01,00:00,28371.00,28671.00,28306.00,28601.00,26753
2017.11.02,00:00,28565.00,28648.00,28478.00,28520.00,28668
2017.11.03,00:00,28619.00,28646.00,28519.00,28541.00,23033
2017.11.06,00:00,28598.00,28679.00,28123.00,28662.00,31896
2017.11.07,00:00,28713.00,29038.00,28698.00,28928.00,25855
2017.11.08,00:00,28883.00,29143.00,28878.00,28904.00,29336
2017.11.09,00:00,28978.00,29199.00,28965.00,28975.00,35141
2017.11.10,00:00,29057.00,29219.00,29019.00,29082.00,30964
2017.11.13,00:00,29069.00,29261.00,29012.00,29205.00,26654
2017.11.14,00:00,29254.00,29310.00,29127.00,29132.00,24221
2017.11.15,00:00,29095.00,29101.00,28862.00,28999.00,32110
2017.11.16,00:00,28928.00,29245.00,28890.00,29245.00,24265
2017.11.17,00:00,29247.00,29329.00,29138.00,29164.00,26140
2017.11.20,00:00,29172.00,29373.00,29082.00,29370.00,23853
2017.11.21,00:00,29358.00,31178.00,29305.00,30130.00,38797
2017.11.22,00:00,30046.00,30237.00,29933.00,30030.00,33214
2017.11.23,00:00,30049.00,30161.00,29593.00,29865.00,37270
2017.11.24,00:00,29871.00,30008.00,29723.00,29996.00,34144
2017.11.27,00:00,29908.00,29919.00,29607.00,29707.00,33753
2017.11.28,00:00,29672.00,29727.00,29340.00,29717.00,32946
2017.11.29,00:00,29754.00,29764.00,29385.00,29406.00,39360
2017.11.30,00:00,29421.00,29434.00,29084.00,29310.00,42651
